Car Name,Car Price,Car Mileage,Exterior Color,Interior Color,Drivetrain,Fuel Type,Transmission,Engine,VIN,TimeStamp,Source
2020 Jeep Wrangler Sport,"$28,800","57,487 mi.",Black Clearcoat,Black,Four-wheel Drive,Gasoline,8-Speed Automatic,2.0L I4 16V GDI DOHC Turbo,1C4GJXAN2LW151762,2023-05-12 08:00:03.613423,Cars.com
2023 Honda Passport EX-L,"$42,900",–,Platinum White,Black,All-wheel Drive,Gasoline,9-Speed Automatic,3.5L V6 24V GDI SOHC,5FNYF8H57PB018216,2023-05-12 08:00:05.946499,Cars.com
2023 Honda Passport TrailSport,"$45,290",8 mi.,Radiant Red Metallic,Black,All-wheel Drive,Gasoline,9-Speed Automatic,3.5L V6 24V GDI SOHC,5FNYF8H63PB004757,2023-05-12 08:00:08.321882,Cars.com
2023 Honda Passport TrailSport,"$45,400",1 mi.,Radiant Red Metallic,Black,All-wheel Drive,Gasoline,9-Speed Automatic,3.5L V6 24V GDI SOHC,5FNYF8H64PB008753,2023-05-12 08:00:10.985601,Cars.com
2023 Honda Accord Hybrid Sport,"$33,445",10 mi.,Urban Gray,Black,Front-wheel Drive,Hybrid,Automatic CVT,2.0L I4 16V GDI DOHC Hybrid,1HGCY2F57PA005190,2023-05-12 08:00:13.257748,Cars.com
2023 Honda CR-V Hybrid Sport,"$35,650",10 mi.,Still Night Pearl,Black,AWD,Hybrid,Automatic CVT,2.0L I4 16V GDI DOHC Hybrid,7FARS6H56PE029233,2023-05-12 08:00:16.563570,Cars.com
2023 Honda Passport TrailSport,"$45,235",10 mi.,Lunar,Black,AWD,Gasoline,9-Speed Automatic,3.5L V6 24V GDI SOHC,5FNYF8H67PB020928,2023-05-12 08:00:20.317756,Cars.com
2022 Toyota Tundra 1794,"$65,999","2,983 mi.",Magnetic Gray Metallic,Cream,Four-wheel Drive,Gasoline,10-Speed Automatic,3.5L V6 24V PDI DOHC Twin Turbo,5TFMA5DB5NX046297,2023-05-12 08:00:23.467005,Cars.com
2023 Lincoln Aviator Standard AWD,"$59,140",24 mi.,Infinite Black Metallic,Ebony,All-wheel Drive,Gasoline,Automatic,3.0L V6 24V GDI DOHC Twin Turbo,5LM5J6XC0PGL13209,2023-05-12 08:00:26.109852,Cars.com
2019 Ford Expedition Platinum,"$40,000","129,879 mi.",Agate Black Metallic,Ebony,Four-wheel Drive,Gasoline,10-Speed Automatic,3.5L V6 24V GDI DOHC Twin Turbo,1FMJU1MT4KEA48962,2023-05-12 08:00:27.943891,Cars.com
2018 Mercedes-Benz C-Class C 300,"$22,985","70,521 mi.",Black,Black,Rear-wheel Drive,Gasoline,9-Speed Automatic,2.0L I4 16V GDI DOHC Turbo,55SWF4JBXJU270872,2023-05-12 08:00:29.754624,Cars.com
2014 Toyota Avalon XLE,"$22,745","14,519 mi.",Blizzard Pearl,Almond,Front-wheel Drive,Gasoline,6-Speed Automatic,3.5L V6 24V MPFI DOHC,4T1BK1EB8EU113046,2023-05-12 08:00:32.621079,Cars.com
2023 Mercedes-Benz Sprinter 2500 170 WB,"$59,348",2 mi.,Arctic White,Black,Rear-wheel Drive,Diesel,Automatic,2.0L I4 16V DDI DOHC Turbo Diesel,W1Y4KCHY6PT138203,2023-05-12 08:00:34.441238,Cars.com
2023 Kia Telluride SX X-Pro,"$55,985",20 mi.,Glacial White Pearl,Black,All-wheel Drive,Gasoline,Automatic,3.8L V6 24V GDI DOHC,5XYP5DGC1PG398749,2023-05-12 08:00:36.980473,Cars.com
2023 Kia K5 GT-Line,"$29,350",12 mi.,Wolf Gray,Black,Front-wheel Drive,Gasoline,Automatic,1.6L I4 16V GDI DOHC Turbo,5XXG64J25PG223020,2023-05-12 08:00:40.227685,Cars.com
2023 Kia Telluride SX-Prestige X-Pro,"$61,910",19 mi.,Wolf Gray,Black,All-wheel Drive,Gasoline,Automatic,3.8L V6 24V GDI DOHC,5XYP5DGC5PG395904,2023-05-12 08:00:43.621598,Cars.com
2019 INFINITI QX50 ESSENTIAL,"$24,577","92,730 mi.",Majestic White,Wheat,All-wheel Drive,Gasoline,Automatic CVT,2.0L I4 16V PDI DOHC Turbo,3PCAJ5M32KF118283,2023-05-12 08:00:46.015649,Cars.com
2023 Audi SQ5 3.0T Premium Plus,"$67,765",3 mi.,Mythos Black Metallic,Black,All-wheel Drive,Gasoline,Automatic,3.0L V6 24V GDI DOHC Turbo,WA1B4AFY9P2112837,2023-05-12 08:00:48.766460,Cars.com
2023 Ford Mustang Mach-E Premium,"$55,795",5 mi.,Space White Metallic,Light Space Gray,All-wheel Drive,Electric,Automatic,Electric,3FMTK3SS0PMA18928,2023-05-12 08:00:50.721788,Cars.com
2023 Kia Telluride EX,"$47,050",3 mi.,Dark Moss,Black,All-wheel Drive,Gasoline,Automatic,"LAMBDA II 3.8L V-6 gasoline direct injection, DOHC, D-CVVT varia",5XYP3DGC8PG381405,2023-05-12 08:00:52.696680,Cars.com
2023 GMC Sierra 2500 SLE,"$71,120",5 mi.,Summit White,Jet Black,Four-wheel Drive,Diesel,Automatic,"Duramax 6.6L V-8 diesel direct injection, intercooled turbo, die",1GT49MEY0PF260628,2023-05-12 08:00:57.450812,Cars.com
2023 GMC Terrain AWD AT4,"$37,680",5 mi.,Volcanic Red Tintcoat,Jet Black,All-wheel Drive,Gasoline,Automatic,"1.5L I-4 gasoline direct injection, DOHC, variable valve control",3GKALYEG5PL219084,2023-05-12 08:00:59.636826,Cars.com
2023 GMC Canyon Denali,"$54,955",0 mi.,Volcanic Red Tintcoat,Jet Black/Teak,Four-wheel Drive,Gasoline,Automatic,"2.7L I-4 gasoline direct injection, DOHC, variable valve control",1GTP6FEK3P1130479,2023-05-12 08:01:02.750602,Cars.com
2009 Ford F-150 XLT SuperCrew,"$12,990","179,980 mi.",Pueblo Gold Clearcoat Metallic,Camel,Four-wheel Drive,Gasoline,6-Speed Automatic,4.6L V8 24V MPFI SOHC,1FTRW14899KC22971,2023-05-12 08:01:06.037725,Cars.com
