Car Name,Car Price,Car Mileage,Exterior Color,Interior Color,Drivetrain,Fuel Type,Transmission,Engine,VIN,TimeStamp,Source
2020 Jeep Wrangler Sport,"$28,800","57,487 mi.",Black Clearcoat,Black,Four-wheel Drive,Gasoline,8-Speed Automatic,2.0L I4 16V GDI DOHC Turbo,1C4GJXAN2LW151762,2023-05-15 08:00:04.509125,Cars.com
2023 Kia K5 EX,"$34,645",317 mi.,Everlasting Silver,Black,Front-wheel Drive,Gasoline,8-Speed Automatic,1.6L I4 16V GDI DOHC Turbo,5XXG34J29PG197840,2023-05-15 08:00:08.207120,Cars.com
2022 Lincoln Corsair Grand Touring,"$58,200",5 mi.,White Tri-Coat,Sandstone,All-wheel Drive,Hybrid,Automatic CVT,2.5L I4 16V MPFI DOHC Hybrid,5LMTJ5DZ5NUL28619,2023-05-15 08:00:11.195382,Cars.com
2023 Nissan Titan XD PRO-4X,"$63,477",9 mi.,Glacier White,Black,Four-wheel Drive,Gasoline,Automatic,5.6L V8 32V GDI DOHC,1N6AA1FB0PN103297,2023-05-15 08:00:13.552816,Cars.com
2023 Nissan Titan XD PRO-4X,"$57,493",13 mi.,Baja Storm,Black,Four-wheel Drive,Gasoline,Automatic,5.6L V8 32V GDI DOHC,1N6AA1FB5PN106731,2023-05-15 08:00:16.682918,Cars.com
2020 Mitsubishi Outlander Sport 2.0 ES,"$22,498","43,161 mi.",Octane Blue Metallic,Black,Four-wheel Drive,Gasoline,Automatic CVT,2.0L I4 16V MPFI DOHC,JA4AR3AU4LU028159,2023-05-15 08:00:18.411575,Cars.com
2023 Nissan Pathfinder Platinum,"$51,124",1 mi.,Brilliant Silver Metallic,Charcoal,Four-wheel Drive,Gasoline,Automatic,3.5L V6 24V GDI DOHC,5N1DR3DK3PC222945,2023-05-15 08:00:20.779294,Cars.com
2023 GMC Canyon 4WD AT4,"$50,075",3 mi.,Summit White,Jet Black/Timber,Four-wheel Drive,Gasoline,Automatic,Turbocharged Gas I4 2.7L/,1GTP6DEK0P1140410,2023-05-15 08:00:24.282768,Cars.com
2023 GMC Canyon 4WD Elevation,"$44,320",3 mi.,Summit White,Jet Black,Four-wheel Drive,Gasoline,Automatic,Turbocharged Gas I4 2.7L/,1GTP6BEK6P1143218,2023-05-15 08:00:27.552793,Cars.com
2023 Kia EV6 GT,"$74,325",18 mi.,Steel,Black,All-wheel Drive,Electric,Automatic,Electric,KNDC5DLE5P5090773,2023-05-15 08:00:31.402560,Cars.com
2018 Jaguar XE 25t,"$23,694","33,437 mi.",Indus Silver,Ebony,All-wheel Drive,Gasoline,8-Speed Automatic,2.0L I4 16V GDI DOHC Turbo,SAJAS4FX2JCP34537,2023-05-15 08:00:33.799376,Cars.com
2020 Land Rover Range Rover P525 HSE,"$74,919","33,162 mi.",Narvik Black,Ebony,Four-wheel Drive,Gasoline,Automatic,V8,SALGS2SEXLA585464,2023-05-15 08:00:36.240382,Cars.com
2021 Land Rover Discovery Sport S R-Dynamic,"$36,250","21,441 mi.",Byron Blue,Ebony,Four-wheel Drive,Gasoline,9-Speed Automatic,2.0L I4 16V GDI DOHC Turbo,SALCT2FXXMH900120,2023-05-15 08:00:39.494092,Cars.com
2014 Porsche Cayenne S,"$27,000","81,404 mi.",White,Black,All-wheel Drive,Gasoline,8-Speed Automatic,4.8L V8 32V GDI DOHC,WP1AB2A20ELA55286,2023-05-15 08:00:42.793148,Cars.com
2023 Ford Ranger XLT,"$44,935",11 mi.,Azure Gray Metallic,Ebony,Four-wheel Drive,Gasoline,10-Speed Automatic,2.3L I4 16V GDI DOHC Turbo,1FTER4FHXPLE16033,2023-05-15 08:00:46.183683,Cars.com
2023 Ford Bronco Black Diamond,"$44,360",9 mi.,Iconic Silver Metallic,Black Onyx,Four-wheel Drive,Gasoline,7-Speed Manual,2.3L I4 16V GDI DOHC Turbo,1FMDE5BH5PLB26247,2023-05-15 08:00:48.524199,Cars.com
2023 Kia Telluride SX,"$53,845",3 mi.,Wolf Gray,Black,All-wheel Drive,Gasoline,Automatic,"LAMBDA II 3.8L V-6 gasoline direct injection, DOHC, D-CVVT varia",5XYP5DGC7PG381499,2023-05-15 08:00:50.859021,Cars.com
2023 Kia Telluride EX,"$47,050",3 mi.,Dark Moss,Black,All-wheel Drive,Gasoline,Automatic,"LAMBDA II 3.8L V-6 gasoline direct injection, DOHC, D-CVVT varia",5XYP3DGC8PG381405,2023-05-15 08:00:54.159519,Cars.com
2023 Kia Telluride S,"$42,475",3 mi.,Glacial White Pearl,Black,All-wheel Drive,Gasoline,Automatic,"LAMBDA II 3.8L V-6 gasoline direct injection, DOHC, D-CVVT varia",5XYP6DGC5PG385757,2023-05-15 08:00:56.572042,Cars.com
2023 BMW X1 xDrive28i,"$45,195",10 mi.,Green Metallic,Oyster,All-wheel Drive,Gasoline,7-Speed Automatic,2.0L I4 16V GDI DOHC Turbo,WBX73EF0XP5W75638,2023-05-15 08:01:00.399573,Cars.com
2022 BMW 430 i xDrive,"$55,555","7,004 mi.",Black Sapphire Metallic,Tacora Red,All-wheel Drive,Gasoline,8-Speed Automatic,2.0L I4 16V GDI DOHC Turbo,WBA43AT05NCH75555,2023-05-15 08:01:04.799095,Cars.com
2023 BMW iX xDrive50,"$99,195",11 mi.,Storm Bay Metallic,Black,All-wheel Drive,Electric,Automatic,Electric,WB523CF07PCM96766,2023-05-15 08:01:06.865584,Cars.com
2021 Mercedes-Benz GLE 450 AWD 4MATIC,"$62,887","25,780 mi.",Obsidian Black Metallic,Black,All-wheel Drive,Gasoline,9-Speed Automatic,3.0L I6 24V GDI DOHC Turbo,4JGFB5KB7MA530008,2023-05-15 08:01:08.753065,Cars.com
2024 BMW X7 xDrive40i,"$89,995",11 mi.,Skyscraper Gray Metallic,Black,All-wheel Drive,Gasoline,8-Speed Automatic,3.0L I6 24V DOHC,5UX23EM00R9S07986,2023-05-15 08:01:11.000713,Cars.com
2024 BMW X7 xDrive40i,"$94,245",11 mi.,Mineral White Metallic,Coffee,All-wheel Drive,Gasoline,8-Speed Automatic,3.0L I6 24V DOHC,5UX23EM08R9S21280,2023-05-15 08:01:13.244231,Cars.com
2015 Porsche 911 Turbo,"$124,995","39,055 mi.",Carrara White Metallic,Espresso / Cognac,All-wheel Drive,Gasoline,7-Speed Automatic with Auto-Shift,3.8L H6 24V GDI DOHC Twin Turbo,WP0CD2A97FS178351,2023-05-15 08:01:15.443971,Cars.com
