Car Name,Car Price,Car Mileage,Exterior Color,Interior Color,Drivetrain,Fuel Type,Transmission,Engine,VIN,TimeStamp,Source
2022 Ford F-250 XL,"$42,060",–,Oxford White,Medium Earth Gray,Rear-wheel Drive,E85 Flex Fuel,6-Speed Automatic,6.2L V8 16V MPFI SOHC Flexible Fuel,1FTBF2A66NEG45767,2023-05-13 08:00:04.339469,Cars.com
2015 Kia Sorento EX,"$14,250","94,263 mi.",Snow White Pearl,Black,All-wheel Drive,Gasoline,6-Speed Automatic,3.3L V6 24V GDI DOHC,5XYKUDA79FG569383,2023-05-13 08:00:07.729470,Cars.com
2020 Ford Mustang EcoBoost Premium,"$23,990","55,580 mi.",Oxford White,Ebony,Rear-wheel Drive,Gasoline,10-Speed Automatic,2.3L I4 16V GDI DOHC Turbo,1FATP8UH7L5112640,2023-05-13 08:00:10.739987,Cars.com
2008 Jeep Wrangler Sahara,"$13,250","134,832 mi.",Steel Blue Clearcoat Metallic,Dark / Medium Slate Gray,Four-wheel Drive,Gasoline,4-Speed Automatic,3.8L V6 12V MPFI OHV,1J4FA54138L565418,2023-05-13 08:00:13.252961,Cars.com
2014 Toyota Sienna LE,"$9,425","231,635 mi.",Silver Sky Metallic,Light Gray,Front-wheel Drive,Gasoline,6-Speed Automatic,3.5L V6 24V MPFI DOHC,5TDKK3DC7ES458714,2023-05-13 08:00:16.701597,Cars.com
2023 Honda Passport TrailSport,"$45,290",8 mi.,Radiant Red Metallic,Black,All-wheel Drive,Gasoline,9-Speed Automatic,3.5L V6 24V GDI SOHC,5FNYF8H63PB004757,2023-05-13 08:00:19.721351,Cars.com
2013 Dodge Dart SXT,"$7,480","104,265 mi.",Pitch Black Clearcoat,Black / Light Diesel Gray,Front-wheel Drive,E85 Flex Fuel,6-Speed Automatic,2.0L I4 16V MPFI DOHC Flexible Fuel,1C3CDFBA0DD139722,2023-05-13 08:00:23.552918,Cars.com
2016 INFINITI QX80 Base,"$17,600","168,558 mi.",Liquid Platinum,Graphite,All-wheel Drive,Gasoline,7-Speed Automatic,5.6L V8 32V GDI DOHC,JN8AZ2NE7G9123170,2023-05-13 08:00:26.081138,Cars.com
2019 Honda Odyssey EX-L,"$32,900","42,650 mi.",Modern Steel Metallic,Mocha,Front-wheel Drive,Gasoline,9-Speed Automatic,3.5L V6 24V GDI SOHC,5FNRL6H7XKB048001,2023-05-13 08:00:28.437463,Cars.com
2019 Honda Pilot LX,"$22,990","81,896 mi.",Modern Steel Metallic,Gray,Front-wheel Drive,Gasoline,6-Speed Automatic,3.5L V6 24V GDI SOHC,5FNYF5H13KB016872,2023-05-13 08:00:30.258175,Cars.com
2023 Toyota Highlander Hybrid XLE,"$45,043",–,Metallic,Black,Front-wheel Drive,Hybrid,Automatic CVT,2.5L I4 16V PDI DOHC Hybrid,5TDKARAH8PS525121,2023-05-13 08:00:32.032522,Cars.com
2023 Toyota RAV4 Hybrid XLE Premium,"$40,034",–,Metallic,Black,All-wheel Drive,Hybrid,Automatic CVT,2.5L I4 16V PDI DOHC Hybrid,JTMB6RFVXPD089481,2023-05-13 08:00:35.426118,Cars.com
2018 Jeep Wrangler JK Unlimited Sport,"$25,000","76,523 mi.",Gobi Clearcoat,Black,Four-wheel Drive,Gasoline,5-Speed Automatic,3.6L V6 24V MPFI DOHC,1C4BJWDG1JL889228,2023-05-13 08:00:37.968932,Cars.com
2014 Mercedes-Benz E-Class E 550 4MATIC,"$18,495","104,793 mi.",Palladium Silver Metallic,Gray / Dark Gray,All-wheel Drive,Gasoline,7-Speed Automatic,4.7L V8 32V GDI DOHC Twin Turbo,WDDHF9BB6EB067207,2023-05-13 08:00:40.176036,Cars.com
2015 Chevrolet Trax LTZ,"$11,910","105,073 mi.",Black Granite Metallic,Jet Black / Light Titanium,Front-wheel Drive,Gasoline,6-Speed Automatic,1.4L I4 16V MPFI DOHC Turbo,3GNCJNSB8FL235108,2023-05-13 08:00:43.278562,Cars.com
2023 Nissan Titan XD PRO-4X,"$57,493",13 mi.,Baja Storm,Black,Four-wheel Drive,Gasoline,Automatic,5.6L V8 32V GDI DOHC,1N6AA1FB5PN106731,2023-05-13 08:00:45.688918,Cars.com
2016 Nissan Leaf S,"$12,490","15,886 mi.",Black,Black,Front-wheel Drive,Electric,1-Speed Automatic,Electric,1N4AZ0CP2GC311544,2023-05-13 08:00:47.401019,Cars.com
2018 Ford F-150 XLT,"$29,490","69,766 mi.",Ingot Silver Metallic,Black,Four-wheel Drive,Gasoline,Automatic,Ecoboost 3.5L V6,1FTEW1EG5JFD15729,2023-05-13 08:00:50.933465,Cars.com
2019 Bentley Bentayga V8,"$119,995","31,210 mi.",White,Black,All-wheel Drive,Gasoline,8-Speed Automatic,4.0L V8 32V GDI DOHC Twin Turbo,SJAAM2ZVXKC027129,2023-05-13 08:00:52.657800,Cars.com
2020 Lamborghini Huracan EVO Base,"$239,995","24,125 mi.",Blue,Orange,Rear-wheel Drive,Gasoline,7-Speed Automatic with Auto-Shift,5.2L V10 40V GDI DOHC,ZHWUF5ZF3LLA14623,2023-05-13 08:00:55.946533,Cars.com
2017 Acura NSX Base,"$127,995","20,894 mi.",Black,Red,All-wheel Drive,Hybrid,9-Speed Automatic with Auto-Shift,3.5L V6 24V PDI DOHC Twin Turbo Hybrid,19UNC1B03HY000315,2023-05-13 08:01:03.184543,Cars.com
2023 Chevrolet Corvette Stingray w/2LT,"$95,170",3 mi.,Rapid Blue,Gray,Rear-wheel Drive,Gasoline,8-Speed,6.2L V8 16V GDI OHV,1G1YB3D45P5129725,2023-05-13 08:01:06.038703,Cars.com
2022 Buick Envision Preferred,"$29,911","14,361 mi.",Satin Steel Metallic,Ebony,Front-wheel Drive,Gasoline,9-Speed Automatic,2.0L I4 16V GDI DOHC Turbo,LRBAZLR43ND024390,2023-05-13 08:01:08.723977,Cars.com
